category,signal,description,waves
Reasons for Hesitancy,whesitancy_reason_unnecessary,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they don’t believe they need a COVID-19 vaccine, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_dislike_vaccines,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they dislike vaccines, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_not_recommended,"Estimated percentage of respondents who say they are hesitant to get vaccinated because their doctor did not recommend it, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_wait_safety,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they want to wait to see if the COVID-19 vaccines are safe, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_low_priority,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they think other people need it more than they do, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_cost,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they are worried about the cost, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_distrust_vaccines,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they don’t trust COVID-19 vaccines, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_distrust_gov,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they don’t trust the government, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_health_condition,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they have a health condition that may impact the safety of a COVID-19 vaccine, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_pregnant,"Estimated percentage of respondents who say they are hesitant to get vaccinated because they are pregnant or breastfeeding, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_religious,"Estimated percentage of respondents who say they are hesitant to get vaccinated because it is against their religious beliefs, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Hesitancy,whesitancy_reason_other,"Estimated percentage of respondents who say they are hesitant to get vaccinated for another reason, among respondents who answered “Yes, probably”, “No, probably not”, or “No, definitely not” when asked if they would get vaccinated if offered (item V3). This series of items was shown to respondents starting in Wave 8.","8,10"
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_had_covid,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they already had the illness, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_dont_spend_time,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they don’t spend time with high-risk people, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_not_high_risk,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they are not in a high-risk group, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_precautions,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they will use other precautions, such as a mask, instead, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_not_serious,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they don’t believe COVID-19 is a serious illness, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_not_beneficial,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine because they don’t think vaccines are beneficial, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Reasons for Believing Vaccine is Unnecessary,wdontneed_reason_other,"Estimated percentage of respondents who say they don’t need to get a COVID-19 vaccine for another reason, among respondents who provided at least one reason for why they believe a COVID-19 vaccine is unnecessary.",10
Outreach and Image,wvaccine_likely_friends,"Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by friends and family, among respondents who have not yet been vaccinated.","7,8,10"
Outreach and Image,wvaccine_likely_local_health,"Discontinued as of Wave 8, Feb 8, 2021 Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by local health workers, among respondents who have not yet been vaccinated.",7
Outreach and Image,wvaccine_likely_who,"Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by the World Health Organization, among respondents who have not yet been vaccinated.","7,8,10"
Outreach and Image,wvaccine_likely_govt_health,"Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by government health officials, among respondents who have not yet been vaccinated.","7,8,10"
Outreach and Image,wvaccine_likely_politicians,"Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by politicians, among respondents who have not yet been vaccinated.","7,8,10"
Outreach and Image,wvaccine_likely_doctors,"Estimated percentage of respondents who would be more likely to get a COVID-19 vaccine if it were recommended to them by doctors and other health professionals they go to for medical care, among respondents who have not yet been vaccinated. This item was shown to respondents starting in Wave 8.","8,10"
Mental Health Indicators,wworried_become_ill,Estimated percentage of respondents who reported feeling very or somewhat worried that “you or someone in your immediate family might become seriously ill from COVID-19”,"4,5,6,7,8,9,10"
Mental Health Indicators,wworried_finances,Estimated percentage of respondents who report being very or somewhat worried about their “household’s finances for the next month”,"4,5,6,7,8,9,10"
Mental Health Indicators,wanxious_7d,"Estimated percentage of respondents who reported feeling “nervous, anxious, or on edge” for most or all of the past 7 days. This item was shown to respondents starting in Wave 10.",10
Mental Health Indicators,wdepressed_7d,Estimated percentage of respondents who reported feeling depressed for most or all of the past 7 days. This item was shown to respondents starting in Wave 10.,10
Mental Health Indicators,wfelt_isolated_7d,Estimated percentage of respondents who reported feeling “isolated from others” for most or all of the past 7 days. This item was shown to respondents starting in Wave 10.,10
Mental Health Indicators,wanxious_5d,"Discontinued as of Wave 10, Mar 2, 2021 Estimated percentage of respondents who reported feeling “nervous, anxious, or on edge” for most or all of the past 5 days","4,5,6,7,8,9"
Mental Health Indicators,wdepressed_5d,"Discontinued as of Wave 10, Mar 2, 2021 Estimated percentage of respondents who reported feeling depressed for most or all of the past 5 days","4,5,6,7,8,9"
Mental Health Indicators,wfelt_isolated_5d,"Discontinued as of Wave 10, Mar 2, 2021 Estimated percentage of respondents who reported feeling “isolated from others” for most or all of the past 5 days","4,5,6,7,8,9"
